crim,per capita crime rate by town
zn,"proportion of residential land zoned for lots over 25,000 sq.ft"
indus,proportion of non-retail business acres per town
chas,Charles River dummy variable (= 1 if tract bounds river; 0 otherwise)
nox,nitric oxides concentration (parts per 10 million)
rm,average number of rooms per dwelling
age,proportion of owner-occupied units built prior to 1940
dis,weighted distances to five Boston employment centres
rad,index of accessibility to radial highways
tax,"full-value property-tax rate per USD 10,000"
ptratio,pupil-teacher ratio by town
b,where B is the proportion of Blacks by town
lstat,percentage of lower status of the population
medv,median value of owner-occupied homes in USD 1000’s
,
The corrected data set has the following additional columns:,
,
cmedv,corrected median value of owner-occupied homes in USD 1000’s
town,name of town
tract,census tract
lon,longitude of census tract
lat,latitude of census tract
